SITE_XN_ROUTE,Avg_Daily_Volume,Avg_Weekday_Volume,Avg_Weekend_Volume
10223,2146,2146,0
10225,2215,2215,0
10484,8259,8259,0
10486,6065,6065,0
10488,1216,1216,0
31602,1366,1366,0
31747,401,401,0
32493,3427,3427,0
32612,2717,2717,0
32615,5932,5932,0
32616,1370,1370,0
33179,11285,11285,0
34215,1836,1836,0
34216,630,630,0
34217,382,382,0
34271,848,848,0
34314,5067,5067,0
34315,3049,3049,0
34556,981,981,0
6411,10004,10004,0
6415,10615,10615,0
6419,6178,5785,13660
6423,592,592,0
6592,10310,10310,0
6596,8949,8949,0
6600,1487,1487,0
7584,3527,3527,0
7588,10595,10595,0
7592,786,786,0
7596,4069,4069,0
7600,2804,2804,0
7604,4257,4257,0
8172,3575,3575,0
8176,8116,8116,0
8180,8339,8339,0
8184,12075,12075,0
8188,2354,2354,0
8192,5798,5798,0
8196,478,478,0
9077,3619,3619,0
9079,1412,1412,0
9999,8536,8536,0
