DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,22/01/2023,00:13:22,15,1,20.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,01:44:22,15,2,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,01:44:22,15,2,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:10:07,15,1,11.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:10:07,15,2,11.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:10:08,15,1,14.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:10:08,15,2,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:11:56,15,3,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:29:15,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:29:16,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:33:45,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:36:13,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:41:19,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:43:07,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:47:56,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,05:56:28,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:02:47,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:05:13,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:05:14,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:05:14,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:07:25,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:07:29,15,1,19.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:07:51,15,1,17.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:08:00,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:08:00,15,2,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:08:24,15,2,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:08:24,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:08:24,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:10:35,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:11:04,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:11:21,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:12:08,15,2,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:13:45,15,2,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:13:45,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:13:45,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:13:45,15,2,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:13:46,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:13:46,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:17:18,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:18:14,15,1,27.0,,,,2,,1.0,Cycle,S
