"Date","Total_Network_Volume"
2023-01-22,3023
2023-01-23,2108
2023-01-24,3120
2023-01-25,3119
2023-01-26,3302
2023-01-27,2463
2023-01-28,3409
2023-01-29,1984
2023-01-30,1631
2023-01-31,2336
2023-02-01,2432
2023-02-02,1863
2023-02-03,1591
2023-02-04,882
2023-02-05,2929
2023-02-06,1506
2023-02-07,2401
2023-02-08,2487
2023-02-09,3061
2023-02-10,2994
2023-02-11,5033
2023-02-12,3420
2023-02-13,1314
2023-02-14,2980
2023-02-15,2677
2023-02-16,2548
2023-02-17,2188
2023-02-18,3317
2023-02-19,2416
2023-02-20,1677
2023-02-21,2242
2023-02-22,2782
2023-02-23,2371
2023-02-24,2670
2023-02-25,4169
2023-02-26,2411
2023-02-27,1268
2023-02-28,1961
2023-03-01,1730
2023-03-02,2137
2023-03-03,2299
2023-03-04,3866
2023-03-05,3147
2023-03-06,1478
2023-03-07,1604
2023-03-08,1802
2023-03-09,1988
2023-03-10,2240
2023-03-11,3316
2023-03-12,1951
2023-03-13,3012
2023-03-14,2394
2023-03-15,2501
2023-03-16,2242
2023-03-17,2664
2023-03-18,2889
2023-03-19,2245
2023-03-20,1301
2023-03-21,1888
2023-03-22,2609
2023-03-23,2267
2023-03-24,2096
2023-03-25,2949
2023-03-27,912
2023-03-28,2104
2023-03-29,1104
2023-03-30,1433
2023-03-31,1812
2023-04-01,1870
2023-04-03,1664
2023-04-04,2482
2023-04-05,2199
2023-04-06,2732
2023-04-07,1006
2023-04-08,896
2023-04-09,330
2023-04-10,584
2023-04-11,1492
2023-04-12,852
2023-04-13,2019
2023-04-14,2534
2023-04-15,1968
2023-04-16,491
2023-04-17,1400
2023-04-18,2403
2023-04-19,1418
2023-04-20,2126
2023-04-21,2156
2023-04-22,2921
2023-04-23,2202
2023-04-24,1670
2023-04-25,4494
2023-04-26,2330
2023-04-27,2148
2023-04-28,2242
2023-04-29,2422
2023-04-30,2490
2023-05-01,1700
2023-05-02,1786
2023-05-03,1241
2023-05-04,2246
2023-05-05,1837
2023-05-06,868
2023-05-07,876
2023-05-08,765
2023-05-09,1268
2023-05-10,1425
2023-05-11,2678
2023-05-12,2221
2023-05-13,3648
2023-05-14,3523
2023-05-15,1695
2023-05-16,1186
2023-05-17,1881
2023-05-18,2044
2023-05-19,1736
2023-05-20,1019
2023-05-21,803
2023-05-22,1237
2023-05-23,2094
2023-05-24,1718
2023-05-25,1140
2023-05-26,1434
2023-05-27,3012
2023-05-28,452
2023-05-29,1168
2023-05-30,1631
2023-05-31,1572
2023-06-01,1669
2023-06-02,2113
2023-06-03,864
2023-06-04,3336
2023-06-05,1729
2023-06-06,2396
2023-06-07,1577
2023-06-08,2092
2023-06-09,2396
2023-06-10,2198
2023-06-11,1575
2023-06-12,1643
2023-06-13,1249
2023-06-14,1973
2023-06-15,2017
2023-06-16,2539
2023-06-17,1577
2023-06-18,2079
2023-06-19,733
2023-06-20,2113
2023-06-21,2146
2023-06-22,2186
2023-06-23,1299
2023-06-24,2094
2023-06-25,942
2023-06-26,802
2023-06-27,2142
