SITE_XN_ROUTE,Time_Window,SPEED
6411,AM Peak,29.5
6411,AM Peak,32.8
6411,AM Peak,28
6411,AM Peak,29.2
6411,AM Peak,26.6
6411,AM Peak,34.1
6411,AM Peak,20.7
6411,AM Peak,24.9
6411,AM Peak,27.5
6411,AM Peak,29.6
6411,AM Peak,28.9
6411,AM Peak,19
6411,AM Peak,21.1
6411,AM Peak,26.8
6411,AM Peak,27
6411,AM Peak,25.7
6411,AM Peak,30.5
6411,AM Peak,24.7
6411,AM Peak,25.5
6411,AM Peak,30.3
6411,AM Peak,24.3
6411,AM Peak,24.2
6411,AM Peak,26.5
6411,AM Peak,21.1
6411,AM Peak,16.5
6411,AM Peak,21.7
6411,AM Peak,24
6411,AM Peak,31
6411,AM Peak,29.4
6411,AM Peak,21
6411,AM Peak,28.8
6411,AM Peak,15.2
6411,AM Peak,18.3
6411,AM Peak,27.5
6411,AM Peak,29.5
6411,AM Peak,38.2
6411,AM Peak,25.8
6411,AM Peak,27.7
6411,AM Peak,37.9
6411,AM Peak,24.2
6411,AM Peak,28
6411,AM Peak,25.2
6411,AM Peak,25.5
6411,AM Peak,16.8
6411,AM Peak,31.7
6411,AM Peak,25.2
6411,AM Peak,27.8
6411,AM Peak,28.9
6411,AM Peak,21.4
6411,AM Peak,30.7
6411,AM Peak,19.4
6411,AM Peak,27
6411,AM Peak,19.8
6411,AM Peak,24.9
6411,AM Peak,34.1
6411,AM Peak,27.7
6411,AM Peak,24
6411,AM Peak,29.1
6411,AM Peak,26.2
6411,AM Peak,28
6411,AM Peak,33.9
6411,AM Peak,25.4
6411,AM Peak,33.9
6411,AM Peak,26.7
6411,AM Peak,20.6
6411,AM Peak,27.8
6411,AM Peak,29.2
6411,AM Peak,29.1
6411,AM Peak,19.3
6411,AM Peak,19.6
6411,AM Peak,10
6411,AM Peak,28.4
6411,AM Peak,37.3
6411,AM Peak,21.6
6411,AM Peak,33.2
6411,AM Peak,29.3
6411,AM Peak,30.3
6411,AM Peak,28.1
6411,AM Peak,18.8
6411,AM Peak,23.9
6411,AM Peak,30
6411,AM Peak,23.6
