_id,SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,SITE_NAME,TFM_DESC,BEARING_DESC,DATA_SRC_CD,RGN_SHORT_NM,Comments
1,6411,59437,-37.77231,144.99042,[-37.772347 +144.990631],D208X6411,(BIKE PATH) ST. GEORGES RD N BD 28M S OF SUMNER AV,NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
2,6411,59438,-37.77235,144.99077,[-37.772347 +144.990631],D208X6411,(BIKE PATH) ST. GEORGES RD S BD 28M S OF SUMNER AV,SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
3,6415,59485,-37.82713,144.98511,[-37.827009 +144.984261],D208X6415,(BIKE PATH) NORTH BANK E BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
4,6415,59486,-37.82714,144.98513,[-37.827009 +144.984261],D208X6415,(BIKE PATH) NORTH BANK W BD 75M W OF MORELL BRIDGE ADJACENT TO PUNT RD OVERPASS,WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
5,6419,59458,-37.75829,144.98039,[-37.758216 +144.980308],D208X6419,(BIKE PATH) MERRI CREEK TRAIL N BD S OF MORELAND RD,NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6,6419,59459,-37.75835,144.98044,[-37.758216 +144.980308],D208X6419,"(BIKE PATH) MERRI CREEK TRAIL, S BD S OF MORELAND RD",SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
7,6423,59460,-37.82026,144.84103,[-37.820161 +144.840941],D208X6423,(BIKE PATH) FEDERATION TRAIL NW BD 170M SE OF PRINCESS HWY BTW CYPRESS AV & CONIFER AV,NORTH WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
8,6423,59461,-37.82032,144.84111,[-37.820161 +144.840941],D208X6423,(BIKE PATH) FEDERATION TRAIL SE BD 170M SE OF PRINCESS HWY BTW CYPRESS AV & CONIFER AV,SOUTH EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
9,6592,59452,-37.81035,144.93758,[-37.810344 +144.937641],D208X6592,(BIKE PATH) CAPITAL CITY TRAIL NW BD FOOTSCRAY RD SE OF EXIT RAMP FROM CITY LINK,NORTH WEST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
10,6592,59453,-37.81036,144.93762,[-37.810344 +144.937641],D208X6592,(BIKE PATH) CAPITAL CITY TRAIL SE BD FOOTSCRAY RD SE OF EXIT RAMP FROM CITY LINK,SOUTH EAST BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
