SITE_XN_ROUTE,Avg_Daily_Volume,Avg_Weekday_Volume,Avg_Weekend_Volume,Path_Name,Path_Type,Continuous_Length_m,Distance_To_Path_m
6411,1429,1664,841,St Georges Road Trail,Shared use path (off-road),793.3,18.3
6415,1516,1736,968,Main Yarra Trail Capital City Trail,Shared use path (off-road),591.2,1.5
6419,711,708,718,Merri Creek Trail,Shared use path (off-road),678.4,1.9
6423,85,80,95,Federation Trail,Shared use path (off-road),6615.2,1.4
6592,1464,1678,926,Capital City Trail,Shared use path (off-road),273.4,2.5
6596,1278,1212,1445,Bay Trail,Separated path (off-road),232.7,1
6600,212,207,225,Scotchmans Creek Trail,Shared use path (off-road),6450.2,1.6
7584,504,456,624,Koonung Creek Trail,Shared use path (off-road),305.7,1.5
7588,1514,1676,1108,Capital City Trail,Shared use path (off-road),2890.2,0.6
7592,112,110,118,Anniversary Outer Circle Trail,Shared use path (off-road),3447.8,31
7596,581,656,394,Moreland Street,Basic painted lane,114.8,3.7
7600,801,928,485,Napier Street,Basic painted lane,208.5,2.8
7604,608,580,679,Main Yarra Trail,Shared use path (off-road),5191.1,1.6
8172,511,503,530,Main Yarra Trail Capital City Trail,Shared use path (off-road),863.8,0.8
8176,1159,1288,838,Main Yarra Trail,Shared use path (off-road),3484.7,1.4
8180,1191,1335,832,Upfield Shared Path,Shared use path (off-road),603.8,0.2
8184,1725,1926,1223,Gardiners Creek Trail,Shared use path (off-road),952.3,2.4
8188,336,375,240,St Georges Road Trail,Shared use path (off-road),2193.4,2.1
8192,828,852,769,Gardiners Creek Trail,Shared use path (off-road),279.9,2.2
8196,68,62,85,Western Port Bay Trail,Shared use path (off-road),15066.7,16569.6
9077,1034,1208,599,Albert Street,Protected bike lane (on-road),200.3,5.4
9079,202,194,222,Unnamed Path,Shared use path (off-road),189.2,0.7
9999,2425,2662,1827,Unnamed Path,Protected bike lane (on-road),38.1,0.6
10223,307,293,339,Anniversary Trail,Shared use path (off-road),1620.7,0.1
10225,571,673,317,Unnamed Path,Shared use path (off-road),61.2,6.5
10484,1180,1270,953,Unnamed Path,Shared use path (off-road),16.6,18.3
10486,1733,2114,781,Royal Parade,Basic painted lane,56.7,15.9
10488,347,399,219,Brighton Road,Basic painted lane,1035.4,17.1
31602,195,194,197,Unnamed Path,Shared use path (off-road),1175,0.3
31747,57,55,62,Box Hill to Ringwood Trail,Shared use path (off-road),1334.3,30.4
32493,979,1145,564,Unnamed Path,Protected bike lane (on-road),1714.6,5.9
32612,388,351,480,Bay Trail,Shared use path (off-road),10238.1,0.7
32615,842,789,976,Bay Trail,Separated path (off-road),740.2,6.1
32616,196,175,247,Bay Trail,Shared use path (off-road),10238.1,0.9
33179,1612,1819,1094,Capital City Trail Moonee Ponds Creek Trail,Shared use path (off-road),545.3,0.8
34215,522,614,288,South Crescent,Shared street (sharrows),1244.3,1.1
34216,179,202,122,Woolhouse Street,Shared street (sharrows),449.3,0.7
34217,108,113,97,Christmas Street,Shared street (sharrows),295.2,0.4
34271,121,130,99,Moreland Street,Basic painted lane,114.8,3.8
34314,1431,1695,760,Canning Street,Basic painted lane,152.6,6.5
34315,436,417,482,Darebin Creek Trail,Shared use path (off-road),1902.5,1.1
34556,140,135,152,Federation Trail,Shared use path (off-road),2678.6,1.6
