Date,Total_Network_Volume
2023-12-25,2595
2023-12-26,10392
2023-12-27,19380
2023-12-28,15867
2023-12-29,23010
2023-12-30,13078
2023-12-31,20853
2024-01-01,19485
2024-01-02,15770
2024-01-03,13751
2024-01-04,23972
2024-01-05,23337
2024-01-06,20304
2024-01-07,10254
2024-01-08,6154
2024-01-09,32194
2024-01-10,31860
2024-01-11,31361
2024-01-12,23693
2024-01-13,18398
2024-01-14,24824
2024-01-15,29493
2024-01-16,33074
2024-01-17,15966
2024-01-18,29218
2024-01-19,23157
2024-01-20,23621
2024-01-21,21120
2024-01-22,29575
2024-01-23,37599
2024-01-24,29314
2024-01-25,26699
2024-01-26,22784
2024-01-27,22849
2024-01-28,26906
2024-01-29,32091
2024-01-30,38795
2024-01-31,36784
2024-02-01,36079
2024-02-02,29350
2024-02-03,24250
2024-02-04,17595
2024-02-05,27814
2024-02-06,38209
2024-02-07,37473
2024-02-08,36210
2024-02-09,30066
2024-02-10,26330
2024-02-11,21748
2024-02-12,30419
2024-02-13,27884
2024-02-14,37188
2024-02-15,38853
2024-02-16,31403
2024-02-17,24663
2024-02-18,27918
2024-02-19,35532
2024-02-20,41492
2024-02-21,36816
2024-02-22,27180
2024-02-23,28372
2024-02-24,26002
2024-02-25,25426
2024-02-26,31964
2024-02-27,41611
2024-02-28,31069
2024-02-29,38015
2024-03-01,31822
2024-03-02,22099
2024-03-03,23167
2024-03-04,34992
2024-03-05,40041
2024-03-06,38100
2024-03-07,37014
2024-03-08,29980
2024-03-09,15814
2024-03-10,13303
2024-03-11,16265
2024-03-12,37020
2024-03-13,27516
2024-03-14,35169
2024-03-15,31885
2024-03-16,26451
2024-03-17,25657
2024-03-18,36305
2024-03-19,32535
2024-03-20,33773
2024-03-21,37847
2024-03-22,31056
2024-03-23,22231
2024-03-24,24043
2024-03-25,34465
2024-03-26,38409
2024-03-27,33055
2024-03-28,30717
2024-03-29,27346
2024-03-30,20958
2024-03-31,19586
2024-04-01,129
2024-04-02,188
2024-04-03,352
2024-04-04,359
2024-04-05,341
2024-04-06,180
2024-04-07,117
2024-04-08,25879
2024-04-09,19746
2024-04-10,28943
2024-04-11,26897
2024-04-12,22887
2024-04-13,24225
2024-04-14,23463
2024-04-15,34356
2024-04-16,35982
2024-04-17,32132
2024-04-18,27256
2024-04-19,20424
2024-04-20,21397
2024-04-21,23070
2024-04-22,33983
2024-04-23,37660
2024-04-24,24231
2024-04-25,18669
2024-04-26,20571
2024-04-27,21873
2024-04-28,24380
2024-04-29,25796
2024-04-30,32220
2024-05-01,33417
2024-05-02,31465
2024-05-03,26024
2024-05-04,19722
2024-05-05,20720
2024-05-06,30899
2024-05-07,35276
2024-05-08,33883
2024-05-09,30591
2024-05-10,17881
2024-05-11,17308
2024-05-12,22285
2024-05-13,30649
2024-05-14,33608
2024-05-15,33007
2024-05-16,32584
2024-05-17,20185
2024-05-18,19487
2024-05-19,12223
2024-05-20,20223
2024-05-21,28704
2024-05-22,31173
2024-05-23,28801
2024-05-24,23463
2024-05-25,19070
2024-05-26,22099
2024-05-27,29455
2024-05-28,34916
2024-05-29,31707
2024-05-30,20901
2024-05-31,21673
2024-06-01,15954
2024-06-02,16066
2024-06-03,25105
2024-06-04,30057
2024-06-05,27888
2024-06-06,29054
2024-06-07,22767
2024-06-08,15276
2024-06-09,8619
2024-06-10,21052
2024-06-11,13494
2024-06-12,15888
2024-06-13,22551
2024-06-14,21338
2024-06-15,17420
2024-06-16,15809
2024-06-17,25205
2024-06-18,28539
2024-06-19,25683
2024-06-20,23927
2024-06-21,18970
2024-06-22,15720
2024-06-23,18786
2024-06-24,732
