Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,15351,Sunbury,-37.57909097,144.7273188,691050,2200,2250,1950,1450,950,450,850,450,400,100,77.38856219402884,3205.795129303044,0.0350749842084887,0.21052631578947367,0.02692524551444448,Cranbourne Line
FY24-25,15351,Sunbury,-37.57909097,144.7273188,691050,2200,2250,1950,1450,950,450,850,450,400,100,77.38856219402884,3205.795129303044,0.0350749842084887,0.21052631578947367,0.02692524551444448,Pakenham Line
FY24-25,15351,Sunbury,-37.57909097,144.7273188,691050,2200,2250,1950,1450,950,450,850,450,400,100,77.38856219402884,3205.795129303044,0.0350749842084887,0.21052631578947367,0.02692524551444448,Sunbury Line
FY24-25,15353,Diggers Rest,-37.62701651,144.7199224,165600,550,600,450,200,150,100,300,100,50,50,80.20664476094744,751.5697013272159,0.008308372557409785,0.06578947368421052,0.027911205722480074,Cranbourne Line
FY24-25,15353,Diggers Rest,-37.62701651,144.7199224,165600,550,600,450,200,150,100,300,100,50,50,80.20664476094744,751.5697013272159,0.008308372557409785,0.06578947368421052,0.027911205722480074,Pakenham Line
FY24-25,15353,Diggers Rest,-37.62701651,144.7199224,165600,550,600,450,200,150,100,300,100,50,50,80.20664476094744,751.5697013272159,0.008308372557409785,0.06578947368421052,0.027911205722480074,Sunbury Line
FY24-25,19827,Stony Point,-38.37423454,145.2218375,6950,50,50,50,50,50,50,50,50,50,50,2858.64178070663,0,2.266845976730444e-4,0,1,Stony Point Line
FY24-25,19828,Crib Point,-38.36612338,145.2040433,7900,50,50,50,50,50,50,50,50,50,50,1120.213573742127,0,2.750779387493123e-4,0,0.3917775665218223,Stony Point Line
FY24-25,19829,Morradoo,-38.35403334,145.1896025,3400,50,50,50,50,50,50,50,50,50,50,47.251825531042805,826.123665693873,4.5846323124885384e-5,0,0.016381330478540637,Stony Point Line
FY24-25,19830,Bittern,-38.33739032,145.1780265,8800,50,50,50,50,50,50,50,50,50,50,48.74584622282044,2165.355444539814,3.2092426187419767e-4,0,0.01690404225759445,Stony Point Line
FY24-25,19831,Hastings,-38.30565853,145.1859799,10850,50,50,50,50,50,50,50,50,50,50,630.5243243515991,186.79821845279253,4.253519978808811e-4,0,0.22045039539148711,Stony Point Line
FY24-25,19832,Tyabb,-38.259815,145.1864007,4050,50,50,50,50,50,50,50,50,50,50,247.79077021473864,947.2368427142795,7.895755649285817e-5,0,0.08654372456189534,Stony Point Line
FY24-25,19833,Somerville,-38.22534196,145.1762449,8050,50,50,50,50,50,50,50,50,50,50,44.77918451306185,886.4517980459752,2.827189926034599e-4,0,0.015516229618436472,Stony Point Line
FY24-25,19834,Baxter,-38.19404306,145.1605261,2500,50,50,50,50,50,50,50,50,50,50,25.027077256787337,3226.152847282822,0,0,0.008605576251444386,Stony Point Line
FY24-25,19835,Glen Iris,-37.85930842,145.0582249,261300,850,900,600,550,350,50,400,150,250,50,44.37255668374908,4350.702328622156,0.01318336491635593,0.09210526315789473,0.01537396307738879,Glen Waverly Line
FY24-25,19836,Leawarra,-38.152034,145.139534,5500,50,50,50,50,50,50,50,50,50,50,14.142949608913705,1667.930165138517,1.5282107708295127e-4,0,0.0047975555475948724,Stony Point Line
FY24-25,19837,Darling,-37.86895684,145.0629508,262650,800,850,650,550,400,50,500,150,150,50,148.0050855079259,3045.106049419255,0.013252134401043258,0.11842105263157894,0.05163178989843351,Glen Waverly Line
FY24-25,19838,East Malvern,-37.87693002,145.069393,333800,1050,1050,850,750,550,50,600,200,150,50,58.65799389379561,3034.5528693071146,0.016876540945860587,0.14473684210526316,0.020371997133891893,Glen Waverly Line
FY24-25,19839,Holmesglen,-37.87440222,145.090662,383100,1200,1250,900,850,650,50,450,350,350,50,105.99235265212391,3820.675906992422,0.01938790064592375,0.10526315789473684,0.03693282993433862,Glen Waverly Line
FY24-25,19840,Jordanville,-37.87360339,145.1120902,388950,1250,1300,1000,750,550,100,750,250,200,50,44.741177362541954,1324.2385520069602,0.019685901746235506,0.18421052631578946,0.015502932088238691,Glen Waverly Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Mernda Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Hurstbridge Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Craigieburn Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Upfield Line
